trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
727,False,"{'a': 0.6, 'e': 0.4831811023432808}",20,11,-36.36787144101658,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
728,False,"{'a': 0.6, 'e': 0.4826979212409376}",20,3,-22.808954798576263,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 0}",1
729,False,"{'a': 0.6, 'e': 0.48221522331969663}",30,17,6.281958330385903,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
730,False,"{'a': 0.6, 'e': 0.4817330080963769}",25,13,-5.596880825486966,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
731,False,"{'a': 0.6, 'e': 0.48125127508828053}",30,15,-40.0371557833227,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
732,False,"{'a': 0.6, 'e': 0.4807700238131923}",25,2,-41.716122225863955,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 1}",1
733,False,"{'a': 0.6, 'e': 0.4802892537893791}",30,13,-38.564223957008736,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
734,False,"{'a': 0.6, 'e': 0.4798089645355897}",35,5,-83.61881760405083,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",1
735,False,"{'a': 0.6, 'e': 0.4793291555710541}",20,13,14.053915639493887,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
736,False,"{'a': 0.6, 'e': 0.47884982641548307}",25,0,4.134894230639411,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
737,False,"{'a': 0.6, 'e': 0.4783709765890676}",30,21,-8.303021462956327,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
738,False,"{'a': 0.6, 'e': 0.4778926056124785}",25,13,23.6645968745317,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
739,False,"{'a': 0.6, 'e': 0.477414713006866}",25,0,22.598882003595644,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
740,False,"{'a': 0.6, 'e': 0.47693729829385917}",35,3,-71.10472949646203,"{0: 25, 1: 0, 2: 5, 3: 1, 4: 1}",1
741,False,"{'a': 0.6, 'e': 0.47646036099556527}",20,13,-28.584920247653717,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
742,False,"{'a': 0.6, 'e': 0.47598390063456975}",20,14,13.79440005097043,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
